rank,model_name,strategy,postprocess_mode,pixel_threshold,image_score_type,image_threshold,min_component_area,min_component_mean_probability,test_dice_forged_only,test_iou_forged_only,test_component_f1_iou010,test_component_f1_iou025,test_image_f1,test_image_specificity,authentic_fp_rate,final_score
11,unetpp_resnet34_rgb_full,balanced_final_score,morph_area_probability_clean,0.75,pred_mask_ratio_raw,0.000213623046875,500,0.0,0.5045187957088672,0.33736217764636645,0.29405702507729303,0.27825489522500857,0.695852534562212,0.3686440677966102,0.3008474576271186,0.5290968501544455
12,dinov2_lite_decoder_rgb_full,best_component_f1,min_area_clean,0.75,max_probability,0.31,100,0.0,0.5317749082446105,0.36218895265495554,0.3531148509005019,0.308237378210806,0.7031551835157759,0.03389830508474576,0.4385593220338983,0.5273191029071147
13,dinov2_lite_decoder_rgb_full,best_forged_dice,min_area_clean,0.75,max_probability,0.31,100,0.0,0.5317749082446105,0.36218895265495554,0.3531148509005019,0.308237378210806,0.7031551835157759,0.03389830508474576,0.4385593220338983,0.5273191029071147
14,efficientnetb0_unet_rgb_full,best_forged_dice,min_area_clean,0.75,max_probability,0.70486328125,25,0.0,0.5214642865452059,0.3526896792548458,0.32256646890793234,0.2992748846407383,0.740029542097489,0.3601694915254237,0.5190677966101694,0.507346466615269
15,segformer_b0_rgb_full,small_object_focused,raw,0.75,max_probability,0.53884765625,0,0.0,0.558320382072782,0.3872707744009795,0.29631024096385544,0.2628012048192771,0.7292110874200426,0.2733050847457627,0.5953389830508474,0.49626411484027666
16,segformer_b0_rgb_full,raw_reference,raw,0.75,max_probability,0.53884765625,0,0.0,0.558320382072782,0.3872707744009795,0.29631024096385544,0.2628012048192771,0.7292110874200426,0.2733050847457627,0.5953389830508474,0.49626411484027666
17,unetpp_resnet34_rgb_full,best_component_f1,min_area_clean,0.75,pred_mask_ratio_raw,0.000213623046875,25,0.0,0.5092191934818247,0.341578849992805,0.3079431632890753,0.2897740507803401,0.695852534562212,0.3686440677966102,0.6038135593220338,0.4736203035889431
18,efficientnetb0_unet_rgb_full,raw_reference,raw,0.75,max_probability,0.70486328125,0,0.0,0.5212142097068584,0.35246092647640154,0.23166615526235043,0.21141454433875423,0.740029542097489,0.3601694915254237,0.5911016949152542,0.470127081649435
19,dinov2_lite_decoder_rgb_full,raw_reference,raw,0.75,max_probability,0.31,0,0.0,0.5310820190941997,0.36154640762632023,0.2926066562430199,0.24436006254188072,0.7031551835157759,0.03389830508474576,0.6504237288135594,0.4695766616841682
20,unetpp_resnet34_rgb_full,best_forged_dice,raw,0.75,max_component_mean_probability,0.7647721147537232,0,0.0,0.5091668433545531,0.3415317408825542,0.22461287693561532,0.20635696821515892,0.6985121378230227,0.4067796610169492,0.6779661016949152,0.43847082163361895
21,unetpp_resnet34_rgb_full,raw_reference,raw,0.75,max_component_mean_probability,0.7647721147537232,0,0.0,0.5091668433545531,0.3415317408825542,0.22461287693561532,0.20635696821515892,0.6985121378230227,0.4067796610169492,0.6779661016949152,0.43847082163361895
22,efficientnetb0_unet_rgb_full,small_object_focused,raw,0.65,max_probability,0.70486328125,0,0.0,0.5068785292499748,0.3394757487449158,0.20899962811454073,0.18643857691830917,0.740029542097489,0.3601694915254237,0.7033898305084746,0.43698533458392924
23,dinov2_lite_decoder_rgb_full,small_object_focused,min_area_clean,0.55,max_probability,0.31,25,0.0,0.4956795021484353,0.32950392077775525,0.27829928216454997,0.21277378980305542,0.7031551835157759,0.03389830508474576,0.8008474576271186,0.4235241914708213
24,unetpp_resnet34_rgb_full,small_object_focused,min_area_clean,0.65,max_probability,0.79,25,0.0,0.5055643354600567,0.3382978253638593,0.27968056787932566,0.25838509316770186,0.69826224328594,0.4216101694915254,0.8241525423728814,0.42168959956346297
