sample_id,image_id,gt_area,surface_area,edge_area,area_delta_edge_minus_surface,change_pixels,surface_dice,edge_dice,dice_delta_edge_minus_surface
forged__7279,7279,318,0,0,0,0,0.0,0.0,0.0
forged__21204,21204,324,0,0,0,0,0.0,0.0,0.0
forged__61355,61355,370,0,0,0,0,0.0,0.0,0.0
forged__60340,60340,377,0,0,0,0,0.0,0.0,0.0
forged__14700,14700,380,0,0,0,0,0.0,0.0,0.0
forged__1143,1143,391,0,0,0,0,0.0,0.0,0.0
forged__37149,37149,420,0,0,0,0,0.0,0.0,0.0
forged__35378,35378,427,0,0,0,0,0.0,0.0,0.0
forged__40298,40298,439,0,0,0,0,0.0,0.0,0.0
forged__47441,47441,445,0,0,0,0,0.0,0.0,0.0
forged__15061,15061,460,0,0,0,0,0.0,0.0,0.0
forged__27694,27694,463,0,0,0,0,0.0,0.0,0.0
forged__25525,25525,489,0,0,0,0,0.0,0.0,0.0
forged__17071,17071,495,0,0,0,0,0.0,0.0,0.0
forged__50983,50983,497,0,0,0,0,0.0,0.0,0.0
forged__2053,2053,501,0,0,0,0,0.0,0.0,0.0
forged__4865,4865,523,0,0,0,0,0.0,0.0,0.0
forged__29058,29058,556,0,0,0,0,0.0,0.0,0.0
forged__41255,41255,589,0,0,0,0,0.0,0.0,0.0
forged__50311,50311,595,0,0,0,0,0.0,0.0,0.0
forged__48718,48718,663,0,0,0,0,0.0,0.0,0.0
forged__187,187,691,0,0,0,0,0.0,0.0,0.0
forged__13839,13839,778,0,0,0,0,0.0,0.0,0.0
forged__53675,53675,806,0,0,0,0,0.0,0.0,0.0
forged__36190,36190,907,0,0,0,0,0.0,0.0,0.0
forged__37586,37586,1294,0,0,0,0,0.0,0.0,0.0
forged__63046,63046,1321,0,0,0,0,0.0,0.0,0.0
forged__62793,62793,1517,0,0,0,0,0.0,0.0,0.0
forged__23236,23236,1588,0,0,0,0,0.0,0.0,0.0
forged__62865,62865,1854,0,0,0,0,0.0,0.0,0.0
forged__14930,14930,2262,0,0,0,0,0.0,0.0,0.0
forged__20666,20666,3940,0,0,0,0,0.0,0.0,0.0
forged__65311,65311,12705,0,0,0,0,0.0,0.0,0.0
